sample_id,text,predicted_category,keyword_match_count
95,Porto Vale introduced new rules affecting historic landmarks for tourists.,Uncategorized,0
96,Analysts raised their price target for Veltrix citing strong stock buybacks.,Business & Finance,3
97,Experts caution that more data is needed to confirm the gene variant.,Science,1
98,The new streaming series from band The Hollow Pines topped the charts in its opening week.,Entertainment,1
99,The city council proposed changes to healthcare reform ahead of the election.,Politics,2
100,Fans were disappointed after the Lakeside Bears lost to the Summit Eagles at home.,Technology,1
101,A new poll shows shifting public opinion on climate regulations in the western province.,Politics,1
102,Researchers are testing a treatment for heart disease involving reduced screen time.,Health,2
103,Public health officials warn that seasonal flu cases are rising this season.,Health,1
104,A breakthrough in neuroscience could lead to practical uses for atmospheric anomaly.,Science,2
105,Hartview Co is cutting jobs as it restructures around export volume.,Business & Finance,1
106,The new streaming series from singer Theo Banks topped the charts in its opening week.,Entertainment,2
107,Reviewers say the wearable device improves accessibility but battery life suffers.,Technology,2
108,A team of researchers published findings on mineral deposit in a peer-reviewed journal.,Science,2
109,The Union Stars secured a last-minute win over their Summit Eagles rivals.,Sports,1
110,Solara Systems announced a merger that could reshape the hospitality sector.,Business & Finance,1
111,A field study tracked gravitational signal patterns over the past decade in geology.,Science,2
112,Analysts raised their price target for Hartview Co citing strong export volume.,Business & Finance,2
113,Protesters gathered outside the federal agency to oppose the infrastructure spending plan.,Politics,1
114,Fans were disappointed after the Union Stars lost to the Coastal Titans at home.,Technology,1
115,The Northgate Wolves signed Sam Whitfield to a multi-year contract extension.,Sports,1
116,Experts say a low-sodium diet alone is not enough to prevent insomnia.,Health,2
117,Fans were disappointed after the Harbor City FC lost to the Harbor City FC at home.,Technology,1
118,The manufacturing industry saw record growth in revenue last quarter.,Business & Finance,1
119,band The Hollow Pines discussed the inspiration behind their new stage musical in an interview.,Entertainment,1
120,Ticket sales surged ahead of the Union Stars versus Riverside Hawks championship game.,Sports,2
121,Solara Systems is cutting jobs as it restructures around revenue.,Business & Finance,2
122,Fans were disappointed after the Northgate Wolves lost to the Summit Eagles at home.,Technology,1
123,Officials clashed over funding for immigration policy during the budget hearing.,Politics,2
124,Developers are migrating to laptop for better processing speed support.,Technology,3
125,Fans were disappointed after the Riverside Hawks lost to the Lakeside Bears at home.,Technology,1
126,studio Pinegrove announced a sequel to their hit novel adaptation.,Entertainment,2
127,Sam Whitfield was named player of the week following a standout performance.,Sports,1
128,A new guide highlights the best beachfront resorts to experience in Lake Senna.,Travel,2
129,A breakthrough in astrophysics could lead to practical uses for fossil record.,Science,2
130,singer Theo Banks discussed the inspiration behind their new novel adaptation in an interview.,Entertainment,2
131,The new novel adaptation from comedian Greg Adler topped the charts in its opening week.,Entertainment,2
132,Engineers at Hartview Co unveiled a app update focused on voice recognition.,Technology,3
133,A clinical trial found that regular exercise reduced symptoms of seasonal flu in adults.,Health,4
134,A field study tracked atmospheric anomaly patterns over the past decade in genetics.,Science,2
135,A security researcher found a flaw in laptop that affects accessibility.,Technology,1
136,Ticket sales surged ahead of the Summit Eagles versus Valley Sharks championship game.,Sports,2
137,The new software suite from Bridgeline Corp promises faster data sync performance.,Technology,2
138,Hospitals report a shortage of staff trained to treat high blood pressure.,Health,2
139,Doctors recommend strength training as part of managing insomnia.,Health,2
140,Marrow Tech announced a merger that could reshape the airline sector.,Business & Finance,1
141,Analysts raised their price target for Marrow Tech citing strong profit margins.,Business & Finance,3
142,Small businesses in the manufacturing sector are struggling with rising costs.,Uncategorized,0
143,The Harbor City FC signed Devon Price to a multi-year contract extension.,Sports,1
144,The Riverside Hawks secured a last-minute win over their Northgate Wolves rivals.,Sports,1
145,Travelers are flocking to Isla Verde for its national parks.,Travel,2
146,Experts say a Mediterranean diet alone is not enough to prevent heart disease.,Health,2
147,Budget travelers are choosing Lake Senna for affordable guided tours.,Travel,3
148,Small businesses in the automotive sector are struggling with rising costs.,Uncategorized,0
149,Public health officials warn that chronic fatigue cases are rising this season.,Health,1
150,Tyler Banks scored a career-high total in the Union Stars victory.,Sports,2
151,The Union Stars signed Carlos Vega to a multi-year contract extension.,Sports,1
152,The new documentary from showrunner Dana Webb topped the charts in its opening week.,Entertainment,2
153,Fans reacted to the surprise trailer for director Maya Lin's upcoming novel adaptation.,Entertainment,3
154,A clinical trial found that intermittent fasting reduced symptoms of joint pain in adults.,Health,3
155,Funding for climate science research focused on exoplanet was increased this year.,Politics,1
156,Funding for climate science research focused on ocean current pattern was increased this year.,Politics,1
157,Scientists say the gene variant could change how we understand paleontology.,Science,2
158,The new laptop from Nexora promises faster security performance.,Technology,1
159,The gravitational signal was confirmed by two independent research groups.,Science,2
160,Injuries have forced the Union Stars to rethink their lineup for the playoffs.,Sports,3
161,The regulatory board proposed changes to healthcare reform ahead of the election.,Politics,2
162,The county commission proposed changes to education funding ahead of the election.,Politics,2
163,The Summit Eagles secured a last-minute win over their Riverside Hawks rivals.,Sports,1
164,Noah Fischer was named player of the week following a standout performance.,Sports,1
165,Small businesses in the hospitality sector are struggling with rising costs.,Uncategorized,0
166,The new laptop from Bridgeline Corp promises faster accessibility performance.,Technology,1
167,Critics gave mixed reviews to comedian Greg Adler's latest documentary.,Entertainment,2
168,Isla Verde is seeing a surge in tourism after new waterfront promenades were introduced.,Travel,2
169,A security researcher found a flaw in app that affects accessibility.,Technology,1
170,Solara Systems is cutting jobs as it restructures around operating costs.,Business & Finance,1
171,Small businesses in the retail sector are struggling with rising costs.,Uncategorized,0
172,Protesters gathered outside the county commission to oppose the tax policy plan.,Politics,1
173,Protesters gathered outside the senate committee to oppose the housing policy plan.,Politics,1
174,Reviewers say the cloud platform improves processing speed but battery life suffers.,Technology,3
175,Nexora announced a merger that could reshape the airline sector.,Business & Finance,1
176,singer Theo Banks discussed the inspiration behind their new documentary in an interview.,Entertainment,2
177,Critics gave mixed reviews to director Maya Lin's latest streaming series.,Entertainment,2
178,The fossil record was confirmed by two independent research groups.,Science,2
179,Fans were disappointed after the Valley Sharks lost to the Riverside Hawks at home.,Technology,1
180,Quanta Labs reported quarterly earnings that beat analyst expectations on stock buybacks.,Business & Finance,3
181,"Award nominations were announced, with director Maya Lin's documentary leading the pack.",Entertainment,3
182,Solara Systems is cutting jobs as it restructures around profit margins.,Business & Finance,2
183,author R. Castillo announced a sequel to their hit album.,Entertainment,1
184,Experts say a Mediterranean diet alone is not enough to prevent seasonal flu.,Health,2
185,Public health officials warn that type 2 diabetes cases are rising this season.,Health,1
186,Engineers at Nexora unveiled a chip update focused on camera.,Technology,3
187,studio Pinegrove discussed the inspiration behind their new documentary in an interview.,Entertainment,2
188,Airlines added more routes to Bellamare ahead of the busy season.,Travel,2
189,Lawmakers debated a new education funding bill in a heated session.,Politics,3
190,A field study tracked atmospheric anomaly patterns over the past decade in marine biology.,Science,2
191,The ocean current pattern was confirmed by two independent research groups.,Science,1
192,Astronomers detected a new gene variant using a space-based telescope.,Science,3
193,Shares of Northfield Inc fell after stock buybacks missed forecasts.,Business & Finance,3
194,The federal agency signed an order addressing immigration policy concerns.,Uncategorized,0
195,A new study links daily walking to a lower risk of type 2 diabetes.,Health,2
196,A new poll shows shifting public opinion on immigration policy in the capital region.,Politics,1
197,Nexora announced a merger that could reshape the real estate sector.,Business & Finance,1
198,A new study links daily walking to a lower risk of insomnia.,Health,2
199,A field study tracked gene variant patterns over the past decade in climate science.,Science,2
200,Investors are watching consumer spending closely ahead of the central bank meeting.,Business & Finance,3
201,The new stage musical from studio Pinegrove topped the charts in its opening week.,Entertainment,2
202,Astronomers detected a new gravitational signal using a space-based telescope.,Science,3
203,A breakthrough in materials science could lead to practical uses for fossil record.,Science,2
204,The state legislature signed an order addressing education funding concerns.,Politics,2
205,Analysts raised their price target for Hartview Co citing strong consumer spending.,Business & Finance,3
206,Reviewers say the browser improves accessibility but battery life suffers.,Technology,2
207,Protesters gathered outside the senate committee to oppose the minimum wage plan.,Politics,1
208,author R. Castillo announced a sequel to their hit streaming series.,Entertainment,1
209,Hospitals report a shortage of staff trained to treat insomnia.,Health,2
210,The latest cloud platform update adds AI-assisted battery suggestions.,Technology,3
211,The regulatory board proposed changes to housing policy ahead of the election.,Politics,2
212,A breakthrough in paleontology could lead to practical uses for microbial colony.,Science,1
213,Veltrix announced a merger that could reshape the retail sector.,Business & Finance,1
214,Doctors recommend daily walking as part of managing chronic fatigue.,Health,2
215,The Summit Eagles secured a last-minute win over their Summit Eagles rivals.,Sports,1
216,Developers are migrating to chip for better storage support.,Technology,3
217,Hospitals report a shortage of staff trained to treat type 2 diabetes.,Health,2
218,Bridgeline Corp is rolling out app to enterprise customers this quarter.,Technology,1
219,A new study links a low-sodium diet to a lower risk of chronic fatigue.,Health,3
220,A new poll shows shifting public opinion on healthcare reform in the western province.,Politics,1
221,Fans were disappointed after the Valley Sharks lost to the Harbor City FC at home.,Technology,1
222,The Union Stars signed Tyler Banks to a multi-year contract extension.,Sports,1
223,A new study links strength training to a lower risk of seasonal flu.,Health,2
224,Lawmakers debated a new immigration policy bill in a heated session.,Politics,2
225,Local officials in Isla Verde are investing in national parks for visitors.,Travel,2
226,A new guide highlights the best guided tours to experience in Lake Senna.,Travel,2
227,The Coastal Titans coach defended the team's strategy after the loss to Coastal Titans.,Sports,1
228,Funding for neuroscience research focused on exoplanet was increased this year.,Politics,1
229,Researchers are testing a treatment for type 2 diabetes involving strength training.,Health,2
230,A field study tracked fossil record patterns over the past decade in astrophysics.,Science,2
231,Researchers are testing a treatment for insomnia involving reduced screen time.,Health,2
232,A new poll shows shifting public opinion on housing policy in the border region.,Politics,1
233,Injuries have forced the Riverside Hawks to rethink their lineup for the playoffs.,Sports,3
234,A clinical trial found that a Mediterranean diet reduced symptoms of insomnia in adults.,Health,4
235,A new guide highlights the best beachfront resorts to experience in Porto Vale.,Travel,2
236,Northcairn is seeing a surge in tourism after new hiking trails were introduced.,Travel,2
237,Funding for neuroscience research focused on ocean current pattern was increased this year.,Politics,1
238,Protesters gathered outside the federal agency to oppose the tax policy plan.,Politics,1
239,Veltrix is cutting jobs as it restructures around profit margins.,Business & Finance,2
240,Injuries have forced the Summit Eagles to rethink their lineup for the playoffs.,Sports,3
241,"Award nominations were announced, with showrunner Dana Webb's documentary leading the pack.",Entertainment,3
242,Scientists say the atmospheric anomaly could change how we understand astrophysics.,Science,2
243,A breakthrough in marine biology could lead to practical uses for mineral deposit.,Science,1
244,Critics gave mixed reviews to author R. Castillo's latest film.,Entertainment,1
245,The real estate industry saw record growth in operating costs last quarter.,Uncategorized,0
246,Ticket sales surged ahead of the Harbor City FC versus Riverside Hawks championship game.,Sports,2
247,Critics gave mixed reviews to producer Alex Kim's latest stage musical.,Entertainment,1
248,Fans reacted to the surprise trailer for band The Hollow Pines's upcoming stage musical.,Entertainment,2
249,The Coastal Titans signed Devon Price to a multi-year contract extension.,Sports,1
250,Reviews praise Mount Arden's beachfront resorts as a top reason to visit.,Travel,2
251,Reviews praise Bellamare's local food markets as a top reason to visit.,Travel,1
252,Marrow Tech announced a merger that could reshape the retail sector.,Business & Finance,1
253,The new browser from Marrow Tech promises faster security performance.,Technology,1
254,Investors are watching export volume closely ahead of the central bank meeting.,Business & Finance,2
255,The Northgate Wolves coach defended the team's strategy after the loss to Lakeside Bears.,Sports,1
256,Scientists say the microbial colony could change how we understand paleontology.,Science,1
257,The Harbor City FC signed Marcus Reed to a multi-year contract extension.,Sports,1
258,Experts caution that more data is needed to confirm the ocean current pattern.,Uncategorized,0
259,Local officials in Porto Vale are investing in historic landmarks for visitors.,Travel,1
260,The new chip from Hartview Co promises faster voice recognition performance.,Technology,2
261,Voters in the northern district will decide on a healthcare reform measure this fall.,Politics,1
262,The Harbor City FC secured a last-minute win over their Union Stars rivals.,Sports,1
263,Calderbrook introduced new rules affecting waterfront promenades for tourists.,Travel,1
264,Negotiations over immigration policy stalled after disagreements between parties.,Politics,1
265,The latest browser update adds AI-assisted data sync suggestions.,Technology,3
266,Nutritionists explain how reduced screen time affects long-term type 2 diabetes risk.,Health,2
267,Driftwood Bay introduced new rules affecting local food markets for tourists.,Uncategorized,0
268,Hartview Co announced it will open-source its smartphone security toolkit.,Technology,2
269,Porto Vale introduced new rules affecting hiking trails for tourists.,Travel,1
270,Lawmakers debated a new tax policy bill in a heated session.,Politics,2
271,Funding for neuroscience research focused on mineral deposit was increased this year.,Politics,1
272,The retail industry saw record growth in export volume last quarter.,Uncategorized,0
273,The new browser from Marrow Tech promises faster camera performance.,Technology,2
274,Shares of Solara Systems fell after operating costs missed forecasts.,Business & Finance,2
275,producer Alex Kim discussed the inspiration behind their new stage musical in an interview.,Entertainment,1
276,A new study links reduced screen time to a lower risk of anxiety disorders.,Health,2
277,Airlines added more routes to Calderbrook ahead of the busy season.,Travel,2
278,The new wearable device from Nexora promises faster security performance.,Technology,1
279,Negotiations over infrastructure spending stalled after disagreements between parties.,Politics,1
280,Fans reacted to the surprise trailer for author R. Castillo's upcoming streaming series.,Entertainment,2
281,The senate committee proposed changes to minimum wage ahead of the election.,Politics,1
282,The latest chip update adds AI-assisted battery suggestions.,Technology,3
283,director Maya Lin discussed the inspiration behind their new novel adaptation in an interview.,Entertainment,2
284,The gene variant was confirmed by two independent research groups.,Science,2
285,Lawmakers debated a new healthcare reform bill in a heated session.,Politics,2
286,Lake Senna introduced new rules affecting historic landmarks for tourists.,Uncategorized,0
287,A security researcher found a flaw in browser that affects voice recognition.,Technology,2
288,Astronomers detected a new ocean current pattern using a space-based telescope.,Science,2
289,A new poll shows shifting public opinion on education funding in the western province.,Politics,2
290,The Lakeside Bears coach defended the team's strategy after the loss to Riverside Hawks.,Sports,1
291,The soundtrack for studio Pinegrove's video game was released ahead of schedule.,Entertainment,3
292,producer Alex Kim announced a sequel to their hit film.,Entertainment,1
293,Reviews praise Porto Vale's museums as a top reason to visit.,Travel,2
294,Public health officials warn that anxiety disorders cases are rising this season.,Health,1
295,The state legislature proposed changes to tax policy ahead of the election.,Politics,2
296,Fans were disappointed after the Summit Eagles lost to the Coastal Titans at home.,Technology,1
297,Doctors recommend daily walking as part of managing type 2 diabetes.,Health,2
298,The Coastal Titans coach defended the team's strategy after the loss to Valley Sharks.,Sports,1
299,Critics gave mixed reviews to band The Hollow Pines's latest animated special.,Entertainment,1
300,The latest app update adds AI-assisted battery suggestions.,Technology,3
301,A new poll shows shifting public opinion on housing policy in the western province.,Politics,1
302,The city council signed an order addressing climate regulations concerns.,Politics,1
303,The mayor's office proposed changes to education funding ahead of the election.,Politics,2
304,Investors are watching revenue closely ahead of the central bank meeting.,Business & Finance,3
305,A team of researchers published findings on microbial colony in a peer-reviewed journal.,Science,2
306,Isla Verde introduced new rules affecting guided tours for tourists.,Travel,2
307,A field study tracked fossil record patterns over the past decade in genetics.,Science,2
308,The manufacturing industry saw record growth in export volume last quarter.,Uncategorized,0
309,The new video game from studio Pinegrove topped the charts in its opening week.,Entertainment,2
310,Voters in the southern district will decide on a healthcare reform measure this fall.,Politics,1
311,Analysts raised their price target for Quanta Labs citing strong profit margins.,Business & Finance,3
312,Reviewers say the cloud platform improves voice recognition but battery life suffers.,Technology,3
313,"Award nominations were announced, with singer Theo Banks's album leading the pack.",Entertainment,3
314,Critics gave mixed reviews to singer Theo Banks's latest video game.,Entertainment,2
315,The senate committee proposed changes to climate regulations ahead of the election.,Politics,1
316,Voters in the central valley will decide on a infrastructure spending measure this fall.,Politics,1
317,Devon Price was named player of the week following a standout performance.,Sports,1
318,A field study tracked atmospheric anomaly patterns over the past decade in astrophysics.,Science,2
319,Public health officials warn that heart disease cases are rising this season.,Health,1
320,Analysts raised their price target for Northfield Inc citing strong stock buybacks.,Business & Finance,3
321,Shares of Nexora fell after export volume missed forecasts.,Business & Finance,2
322,Small businesses in the agriculture sector are struggling with rising costs.,Uncategorized,0
323,Lake Senna introduced new rules affecting hiking trails for tourists.,Travel,1
324,Veltrix announced a merger that could reshape the real estate sector.,Business & Finance,1
325,The mayor's office proposed changes to immigration policy ahead of the election.,Politics,1
326,Scientists say the ocean current pattern could change how we understand astrophysics.,Science,1
327,The new animated special from comedian Greg Adler topped the charts in its opening week.,Entertainment,2
328,The soundtrack for band The Hollow Pines's documentary was released ahead of schedule.,Entertainment,2
329,Fans were disappointed after the Harbor City FC lost to the Lakeside Bears at home.,Technology,1
330,Bridgeline Corp is cutting jobs as it restructures around consumer spending.,Business & Finance,2
331,Reviews praise Lake Senna's beachfront resorts as a top reason to visit.,Travel,2
332,A new poll shows shifting public opinion on infrastructure spending in the capital region.,Politics,1
333,Researchers are testing a treatment for seasonal flu involving reduced screen time.,Health,2
334,Analysts raised their price target for Bridgeline Corp citing strong profit margins.,Business & Finance,3
335,The Riverside Hawks coach defended the team's strategy after the loss to Union Stars.,Sports,1
336,Reviews praise Lake Senna's guided tours as a top reason to visit.,Travel,3
337,A new study links a low-sodium diet to a lower risk of insomnia.,Health,3
338,studio Pinegrove discussed the inspiration behind their new film in an interview.,Entertainment,2
339,Budget travelers are choosing Bellamare for affordable beachfront resorts.,Travel,2
340,Travelers are flocking to Isla Verde for its hiking trails.,Travel,2
341,Budget travelers are choosing Calderbrook for affordable beachfront resorts.,Travel,2
342,Funding for geology research focused on fossil record was increased this year.,Science,2
343,Quanta Labs reported quarterly earnings that beat analyst expectations on operating costs.,Business & Finance,2
344,studio Pinegrove discussed the inspiration behind their new animated special in an interview.,Entertainment,2
345,The latest chip update adds AI-assisted security suggestions.,Technology,2
346,Developers are migrating to wearable device for better storage support.,Technology,3
347,The logistics industry saw record growth in revenue last quarter.,Business & Finance,1
348,Ticket sales surged ahead of the Summit Eagles versus Lakeside Bears championship game.,Sports,2
349,The animated special starring studio Pinegrove broke streaming records over the weekend.,Entertainment,3
350,The microbial colony was confirmed by two independent research groups.,Science,1
351,The Harbor City FC secured a last-minute win over their Summit Eagles rivals.,Sports,1
352,A security researcher found a flaw in smartphone that affects battery.,Technology,2
353,Nutritionists explain how reduced screen time affects long-term heart disease risk.,Health,2
354,Engineers at Nexora unveiled a browser update focused on processing speed.,Technology,3
355,Hospitals report a shortage of staff trained to treat heart disease.,Health,2
356,Developers are migrating to cloud platform for better accessibility support.,Technology,2
357,Analysts raised their price target for Solara Systems citing strong operating costs.,Business & Finance,2
358,Protesters gathered outside the state legislature to oppose the healthcare reform plan.,Politics,2
359,Ticket sales surged ahead of the Northgate Wolves versus Lakeside Bears championship game.,Sports,2
360,Voters in the capital region will decide on a education funding measure this fall.,Politics,2
361,Local officials in Porto Vale are investing in national parks for visitors.,Travel,2
362,Funding for astrophysics research focused on exoplanet was increased this year.,Politics,1
363,The Coastal Titans secured a last-minute win over their Lakeside Bears rivals.,Sports,1
364,Negotiations over education funding stalled after disagreements between parties.,Politics,2
365,Critics gave mixed reviews to producer Alex Kim's latest documentary.,Entertainment,1
366,Fans reacted to the surprise trailer for band The Hollow Pines's upcoming video game.,Entertainment,2
367,Airlines added more routes to Northcairn ahead of the busy season.,Travel,2
368,A new study links regular exercise to a lower risk of seasonal flu.,Health,3
369,Local officials in Porto Vale are investing in guided tours for visitors.,Travel,3
370,A new poll shows shifting public opinion on education funding in the capital region.,Politics,2
371,Solara Systems announced it will open-source its chip processing speed toolkit.,Technology,3
372,Bridgeline Corp announced it will open-source its chip camera toolkit.,Technology,3
373,The latest software suite update adds AI-assisted camera suggestions.,Technology,3
374,The new novel adaptation from author R. Castillo topped the charts in its opening week.,Entertainment,1
375,Doctors recommend intermittent fasting as part of managing joint pain.,Health,2
376,Porto Vale is seeing a surge in tourism after new guided tours were introduced.,Travel,3
377,The new software suite from Hartview Co promises faster data sync performance.,Technology,2
378,Nutritionists explain how daily walking affects long-term type 2 diabetes risk.,Health,2
379,Hospitals report a shortage of staff trained to treat chronic fatigue.,Health,2
380,"Award nominations were announced, with director Maya Lin's streaming series leading the pack.",Entertainment,3
381,Experts say reduced screen time alone is not enough to prevent high blood pressure.,Health,1
382,Reviewers say the browser improves security but battery life suffers.,Technology,2
383,A clinical trial found that daily walking reduced symptoms of anxiety disorders in adults.,Health,3
384,The new wearable device from Hartview Co promises faster voice recognition performance.,Technology,2
385,Experts caution that more data is needed to confirm the microbial colony.,Uncategorized,0
386,The Valley Sharks coach defended the team's strategy after the loss to Northgate Wolves.,Sports,1
387,Devon Price scored a career-high total in the Valley Sharks victory.,Sports,2
388,A security researcher found a flaw in wearable device that affects camera.,Technology,2
389,The Harbor City FC coach defended the team's strategy after the loss to Summit Eagles.,Sports,1
390,Protesters gathered outside the state legislature to oppose the minimum wage plan.,Politics,2
391,A field study tracked ocean current pattern patterns over the past decade in paleontology.,Health,1
392,A team of researchers published findings on gravitational signal in a peer-reviewed journal.,Science,3
393,Engineers at Hartview Co unveiled a wearable device update focused on processing speed.,Technology,3
394,Hartview Co announced a merger that could reshape the manufacturing sector.,Business & Finance,1
395,Reviewers say the software suite improves battery but battery life suffers.,Technology,2
396,Officials clashed over funding for infrastructure spending during the budget hearing.,Politics,2
397,The documentary starring studio Pinegrove broke streaming records over the weekend.,Entertainment,3
398,Quanta Labs reported quarterly earnings that beat analyst expectations on consumer spending.,Business & Finance,3
399,The atmospheric anomaly was confirmed by two independent research groups.,Science,2
400,The state legislature signed an order addressing infrastructure spending concerns.,Politics,1
